id,score,price,stock_counter,candidate,status,stop_loss,next_3_months,type,value,growth,momentum,vgm,rank,last_updated
CSU,"
8.37
",$45.18 ,CSU - Capital Senior Living Corporation,Strong Buy Candidate,Upgraded, $43.50 (-3.72%),112.33%,top buy,,,,,,
MHLD,"
7.91
",$3.17 ,MHLD - Maiden Holdings,Strong Buy Candidate,Unchanged, $3.07 (-3.26%),,top buy,,,,,,
DESP,"
7.91
",$16.95 ,DESP - Despegar.com Corp,Strong Buy Candidate,Unchanged, $16.33 (-3.68%),13.19%,top buy,,,,,,
ATEC,"
7.89
",$17.36 ,ATEC - Alphatec Holdings,Strong Buy Candidate,Unchanged, $16.78 (-3.34%),$17.40,top buy,,,,,,
FOR,"
7.85
",$23.48 ,FOR - Forestar Group Inc,Strong Buy Candidate,Upgraded, $22.63 (-3.61%),9.81%,top buy,,,,,,
KE,"
7.75
",$28.43 ,KE - Kimball Electronics,Strong Buy Candidate,Upgraded, $27.37 (-3.72%),$28.79,top buy,,,,,,
FE,"
7.66
",$35.56 ,FE - FirstEnergy Corporation,Strong Buy Candidate,Unchanged, $34.12 (-4.04%),,top buy,,,,,,
VOD,"
7.63
",$18.98 ,VOD - Vodafone Group Plc,Strong Buy Candidate,Upgraded, $18.32 (-3.50%),9.58%,top buy,,,,,,
GDEN,"
7.59
",$30.03 ,GDEN - Golden Entertainment,Strong Buy Candidate,Upgraded, $29.00 (-3.44%),28.94%,top buy,,,,,,
AVXL,"
7.56
",$16.13 ,AVXL - Anavex Life Sciences Corp.,Strong Buy Candidate,Unchanged, $15.56 (-3.56%),122.52%,top buy,C,F,F,F,Bottom 28% (182 out of 253),5/6/21
FTDR,"
7.54
",$56.43 ,FTDR - frontdoor Inc.,Strong Buy Candidate,Upgraded, $53.83 (-4.60%),8.71%,top buy,,,,,,
IFN,"
7.49
",$21.92 ,IFN - India Fund Inc (The),Strong Buy Candidate,Unchanged, $21.00 (-4.19%),$22.04,top buy,,,,,,
IHIT,"
7.46
",$9.31 ,IHIT - Invesco High Income 2023 Target Term Fund of Beneficial Interest,Strong Buy Candidate,Unchanged,$8.88(-4.67%),10.43%,top buy,,,,,,
MYGN,"
7.40
",$31.60 ,MYGN - Myriad Genetics,Strong Buy Candidate,Upgraded, $30.39 (-3.84%),56.84%,top buy,,,,,,
SOLY,"
7.37
",$17.52 ,SOLY - Soliton Inc.,Strong Buy Candidate,Unchanged, $16.99 (-3.00%),,top buy,,,,,,
ICHR,"
7.29
",$48.43 ,ICHR - Ichor Holdings,Strong Buy Candidate,Upgraded, $46.50 (-3.98%),46.4%,top buy,,,,,,
FWONK,"
7.19
",$47.86 ,FWONK - Liberty Media Corporation Series C,Strong Buy Candidate,Unchanged, $45.80 (-4.30%),$48.06,top buy,,,,,,
CQP,"
7.11
",$44.13 ,CQP - Cheniere Energy Partners LP.,Strong Buy Candidate,Upgraded, $42.55 (-3.58%),24.55%,top buy,C,D,C,D,Top 45% (113 out of 253),4/29/21
DS,"
7.06
",$3.36 ,DS - Drive Shack Inc.,Strong Buy Candidate,Upgraded, $3.24 (-3.54%),$3.24,top buy,,,,,,
FRA,"
7.03
",$13.05 ,FRA - Blackrock Floating Rate Income Strategies Fund Inc,Strong Buy Candidate,Upgraded, $12.50 (-4.24%),8.51%,top buy,,,,,,
NXST,"
7.00
",$158.60 ,NXST - Nexstar Broadcasting Group,Strong Buy Candidate,Unchanged, $152.89 (-3.60%),,top buy,,,,,,
ECHO,"
6.99
",$33.52 ,ECHO - Echo Global Logistics,Strong Buy Candidate,Upgraded, $32.40 (-3.34%),,top buy,,,,,,
XPER,"
6.94
",$24.39 ,XPER - Tessera Holding Corp,Strong Buy Candidate,Unchanged, $23.65 (-3.02%),,top buy,,,,,,
OLN,"
6.91
",$35.48 ,OLN - Olin Corporation,Strong Buy Candidate,Unchanged, $34.14 (-3.78%),,top buy,,,,,,
INFY,"
6.89
",$19.33 ,INFY - Infosys Limited,Strong Buy Candidate,Unchanged,$18.63(-3.62%),8.41%,top buy,,,,,,
CSU,"
8.37
",$45.18 ,CSU - Capital Senior Living Corporation,Strong Buy Candidate,Upgraded, $43.50 (-3.72%),112.33%,top buy,,,,,,
MHLD,"
7.91
",$3.17 ,MHLD - Maiden Holdings,Strong Buy Candidate,Unchanged, $3.07 (-3.26%),,top buy,,,,,,
DESP,"
7.91
",$16.95 ,DESP - Despegar.com Corp,Strong Buy Candidate,Unchanged, $16.33 (-3.68%),13.19%,top buy,,,,,,
ATEC,"
7.89
",$17.36 ,ATEC - Alphatec Holdings,Strong Buy Candidate,Unchanged, $16.78 (-3.34%),$17.40,top buy,,,,,,
FOR,"
7.85
",$23.48 ,FOR - Forestar Group Inc,Strong Buy Candidate,Upgraded, $22.63 (-3.61%),9.81%,top buy,,,,,,
KE,"
7.75
",$28.43 ,KE - Kimball Electronics,Strong Buy Candidate,Upgraded, $27.37 (-3.72%),$28.79,top buy,,,,,,
